ensembl_id,ensembl_base_id,gene_symbol,gene_description
ENSG00000000003.15,ENSG00000000003,TSPAN6,NA
ENSG00000000005.6,ENSG00000000005,TNMD,NA
ENSG00000000419.13,ENSG00000000419,DPM1,NA
ENSG00000000457.14,ENSG00000000457,SCYL3,NA
ENSG00000000460.17,ENSG00000000460,C1orf112,NA
ENSG00000000938.13,ENSG00000000938,FGR,NA
ENSG00000000971.16,ENSG00000000971,CFH,NA
ENSG00000001036.14,ENSG00000001036,FUCA2,NA
ENSG00000001084.13,ENSG00000001084,GCLC,NA
ENSG00000001167.14,ENSG00000001167,NFYA,NA
ENSG00000001460.18,ENSG00000001460,STPG1,NA
ENSG00000001461.17,ENSG00000001461,NIPAL3,NA
ENSG00000001497.18,ENSG00000001497,LAS1L,NA
ENSG00000001561.7,ENSG00000001561,ENPP4,NA
ENSG00000001617.12,ENSG00000001617,SEMA3F,NA
ENSG00000001626.16,ENSG00000001626,CFTR,NA
ENSG00000001629.10,ENSG00000001629,ANKIB1,NA
ENSG00000001630.17,ENSG00000001630,CYP51A1,NA
ENSG00000001631.16,ENSG00000001631,KRIT1,NA
ENSG00000002016.18,ENSG00000002016,RAD52,NA
ENSG00000002079.14,ENSG00000002079,MYH16,NA
ENSG00000002330.14,ENSG00000002330,BAD,NA
ENSG00000002549.12,ENSG00000002549,LAP3,NA
ENSG00000002586.20,ENSG00000002586,CD99,NA
ENSG00000002587.10,ENSG00000002587,HS3ST1,NA
ENSG00000002726.21,ENSG00000002726,AOC1,NA
ENSG00000002745.13,ENSG00000002745,WNT16,NA
ENSG00000002746.15,ENSG00000002746,HECW1,NA
ENSG00000002822.15,ENSG00000002822,MAD1L1,NA
ENSG00000002834.18,ENSG00000002834,LASP1,NA
ENSG00000002919.15,ENSG00000002919,SNX11,NA
ENSG00000002933.9,ENSG00000002933,TMEM176A,NA
ENSG00000003056.8,ENSG00000003056,M6PR,NA
ENSG00000003096.14,ENSG00000003096,KLHL13,NA
ENSG00000003137.8,ENSG00000003137,CYP26B1,NA
ENSG00000003147.19,ENSG00000003147,ICA1,NA
ENSG00000003249.15,ENSG00000003249,DBNDD1,NA
ENSG00000003393.15,ENSG00000003393,ALS2,NA
ENSG00000003400.15,ENSG00000003400,CASP10,NA
ENSG00000003402.20,ENSG00000003402,CFLAR,NA
ENSG00000003436.16,ENSG00000003436,TFPI,NA
ENSG00000003509.16,ENSG00000003509,NDUFAF7,NA
ENSG00000003756.17,ENSG00000003756,RBM5,NA
ENSG00000003987.14,ENSG00000003987,MTMR7,NA
ENSG00000003989.18,ENSG00000003989,SLC7A2,NA
ENSG00000004059.11,ENSG00000004059,ARF5,NA
ENSG00000004139.14,ENSG00000004139,SARM1,NA
ENSG00000004142.12,ENSG00000004142,POLDIP2,NA
ENSG00000004399.13,ENSG00000004399,PLXND1,NA
ENSG00000004455.17,ENSG00000004455,AK2,NA
ENSG00000004468.13,ENSG00000004468,CD38,NA
ENSG00000004478.8,ENSG00000004478,FKBP4,NA
ENSG00000004487.17,ENSG00000004487,KDM1A,NA
ENSG00000004534.15,ENSG00000004534,RBM6,NA
